report_month,serial_no,project_code,state,approval_date,start_date,target_doc,revised_doc,physical_progress
2025-06,1,N06000293,Madhya Pradesh,2019-07,2019-07,2019-06,2024-03,
2025-06,2,N06000294,Madhya Pradesh,2019-07,2019-06,2024-03,2023-09,
2025-06,3,N06000295,Madhya Pradesh,2019-07,2019-06,2024-03,2023-09,
2025-06,1,N16000392,Madhya Pradesh,2031-03,,,,
2025-06,2,N16000426,Uttar Pradesh,2031-03,2029-12,,,
2025-06,3,N16000496,Uttar Pradesh,2031-03,2029-12,2030-03,,
2025-06,6,N18000286,Uttar Pradesh,2031-03,2029-12,2030-03,2022-07,
2025-06,4,N18000293,Uttar Pradesh,2031-03,2029-12,2030-03,2022-07,
2025-06,5,N18000296,Uttar Pradesh,2031-03,2029-12,2030-03,2022-07,
2025-06,7,N22000625,Uttar Pradesh,2031-03,2029-12,2030-03,2022-07,
2025-06,4,N22000632,Madhya Pradesh,2019-07,2019-06,2024-03,2023-09,
2025-06,22,N24000301,Andhra Pradesh,2023-08,2024-06,2023-05,2023-05,
2025-06,23,N24000332,Andhra Pradesh,2024-06,2023-05,2023-05,2022-10,
2025-06,24,N24000659,Andhra Pradesh,2023-05,2022-10,2025-03,2022-06,
2025-06,1,N24000686,Uttar Pradesh,2025-01,2030-03,2030-03,2025-02,
2025-06,25,N24000704,Andhra Pradesh,2022-10,2025-03,2022-06,2022-06,
2025-06,26,N24000741,Andhra Pradesh,2025-03,2022-06,2022-06,2022-04,
2025-06,27,N24000768,Andhra Pradesh,2022-06,2022-06,2022-04,2015-10,
2025-06,28,N24001003,Andhra Pradesh,2022-06,2022-04,2015-10,2017-03,
2025-06,29,N24001008,Andaman and Nicobar Islands,2022-04,2015-10,2017-03,2020-05,
2025-06,30,N24001018,Andaman and Nicobar Islands,2015-10,2017-03,2020-05,2020-11,
2025-06,31,N24001021,Andaman and Nicobar Islands,2017-03,2020-05,2020-11,2020-10,
2025-06,32,N24001046,Andaman and Nicobar Islands,2017-03,2020-05,2020-11,2020-10,
2025-06,33,N24001078,Andaman and Nicobar Islands,2020-05,2020-11,2020-10,2019-06,
